dateoftest,elapsed,label
[26/Jul/2013:14:08:48,379828,/batches/batch.json?course=391&offset=0&limit=20&_=1374847726888,200
[26/Jul/2013:14:08:49,347659,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847727280,200
[26/Jul/2013:14:08:49,369691,/batches/batch.json?course=390&offset=0&limit=20&_=1374847727883,200
[26/Jul/2013:14:08:50,371024,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847728265,200
[26/Jul/2013:14:08:50,292571,/batches/batch.json?course=389&offset=0&limit=20&_=1374847728394,200
[26/Jul/2013:14:08:50,417432,/batches/batch.json?course=388&offset=0&limit=20&_=1374847728707,200
[26/Jul/2013:14:08:51,310171,/batches/batch.json?course=391&offset=0&limit=20&_=1374847729644,200
[26/Jul/2013:14:08:51,335212,/batches/batch.json?course=387&offset=0&limit=20&_=1374847729976,200
[26/Jul/2013:14:08:52,386175,/batches/batch.json?course=390&offset=0&limit=20&_=1374847730651,200
[26/Jul/2013:14:08:52,380351,/batches/historyStatus?course=390&offset=0&limit=20&_=1374847731048,200
[26/Jul/2013:14:08:53,392870,/batches/batch.json?course=388&offset=0&limit=20&_=1374847731472,200
[26/Jul/2013:14:08:54,291057,/batches/batch.json?course=391&offset=0&limit=20&_=1374847732303,200
[26/Jul/2013:14:08:54,353020,/batches/batch.json?course=387&offset=0&limit=20&_=1374847732700,200
[26/Jul/2013:14:08:56,319725,/batches/batch.json?course=388&offset=0&limit=20&_=1374847734265,200
[26/Jul/2013:14:08:56,309301,/batches/batch.json?course=391&offset=0&limit=20&_=1374847734973,200
[26/Jul/2013:14:08:57,282574,/batches/batch.json?course=387&offset=0&limit=20&_=1374847735442,200
[26/Jul/2013:14:08:58,402184,/batches/batch.json?course=388&offset=0&limit=20&_=1374847737020,200
[26/Jul/2013:14:08:59,298187,/batches/batch.json?course=391&offset=0&limit=20&_=1374847737669,200
[26/Jul/2013:14:08:59,398033,/batches/batch.json?course=387&offset=0&limit=20&_=1374847738060,200
[26/Jul/2013:14:09:01,379575,/batches/batch.json?course=388&offset=0&limit=20&_=1374847739869,200
[26/Jul/2013:14:09:02,325253,/batches/batch.json?course=391&offset=0&limit=20&_=1374847740397,200
[26/Jul/2013:14:09:02,386757,/batches/batch.json?course=387&offset=0&limit=20&_=1374847740803,200
[26/Jul/2013:14:09:04,385593,/batches/batch.json?course=388&offset=0&limit=20&_=1374847742583,200
[26/Jul/2013:14:09:04,387860,/batches/batch.json?course=391&offset=0&limit=20&_=1374847743045,200
[26/Jul/2013:14:09:05,397588,/batches/batch.json?course=387&offset=0&limit=20&_=1374847743481,200
[26/Jul/2013:14:09:07,381700,/batches/batch.json?course=388&offset=0&limit=20&_=1374847745399,200
[26/Jul/2013:14:09:07,367092,/batches/historyStatus?course=388&offset=0&limit=20&_=1374847745792,200
